,0,1,2,3
Objective,coe,coe,profit,profit
Turbine Type,3,3,3,3
Setback Tip Height Multiplier,2.0,3.0,2.0,3.0
PPA Multiplier,1.2,1.2,1.2,1.2
Number of Turbines,16.0,10.0,16.0,10.0
Total Capacity (MW),112.0,70.0,112.0,70.0
AEP (GWh),411.8317613087908,258.5741460725555,411.8317613087908,258.5741460725555
AEP with Losses (GWh),375.5905663136172,235.8196212181706,375.5905663136172,235.8196212181706
Annual Cost ($MM),10.485516409033067,6.727252639261525,10.485516409033067,6.727252639261525
Annual Income ($MM),12.401694212537224,7.786571586098101,12.401694212537224,7.786571586098101
COE ($/MWh),27.91741153657647,28.527111546149705,27.91741153657647,28.527111546149705
Boundary Area (km^2),62.11826518311771,62.11826518311771,62.11826518311771,62.11826518311771
Available Area (km^2),4.562940222312614,0.1212369391557932,4.562940222312614,0.1212369391557932
Boundary Capacity Density (MW/km^2),1.80301236149845,1.1268827259365313,1.80301236149845,1.1268827259365313
Available Capactiy Density (MW/km^2),24.545576874385517,577.3817822144771,24.545576874385517,577.3817822144771
PPA ($/MWh),33.01918451855321,33.01918451855321,33.01918451855321,33.01918451855321
Profit ($MM),1.916177803504156,1.059318946836577,1.916177803504156,1.059318946836577
